ID,Father,Mother
F0.1501,NA,NA
F0.1501.1,NA,NA
F0.1502,NA,NA
F0.1503,NA,NA
F0.1504,NA,NA
F0.1505,NA,NA
F0.1507,NA,NA
F0.1508,NA,NA
F0.1509,NA,NA
F0.1510,NA,NA
F0.1511,NA,NA
F0.1512,NA,NA
F0.1513,NA,NA
F0.1514,NA,NA
F0.1520,NA,NA
F0.1523,NA,NA
F0.1524,NA,NA
F0.1525,NA,NA
F0.1526,NA,NA
F0.1529,NA,NA
F0.1532,NA,NA
F0.1533,NA,NA
F0.1534,NA,NA
F0.1536,NA,NA
F0.1537,NA,NA
F0.1539,NA,NA
F0.1543,NA,NA
F0.1545,NA,NA
F0.1602,NA,NA
F0.1603,NA,NA
F0.1605,NA,NA
F0.1606,NA,NA
F0.1607,NA,NA
F0.1610,NA,NA
F0.1612,NA,NA
F0.1613,NA,NA
F0.1614,NA,NA
F0.1616,NA,NA
F0.1618,NA,NA
F0.1620,NA,NA
F0.1621,NA,NA
F0.1622,NA,NA
F0.1623,NA,NA
F0.1624,NA,NA
F0.1625,NA,NA
F0.1627,NA,NA
F0.1629,NA,NA
F0.1630,NA,NA
F0.1632,NA,NA
F0.1634,NA,NA
F0.1635,NA,NA
F0.1636.1,NA,NA
F0.1636.2,NA,NA
F0.1637,NA,NA
F0.1638,NA,NA
F0.1639,NA,NA
F0.1641,NA,NA
F0.1643,NA,NA
F0.1646,NA,NA
F0.1646.1,NA,NA
F0.1648,NA,NA
F0.1651,NA,NA
F0.1651.1,NA,NA
F0.1652,NA,NA
F0.1653.1,NA,NA
F0.1654,NA,NA
F0.1655,NA,NA
F1.101,F0.1603,F0.1537
F1.102,F0.1529,F0.1532
F1.103,F0.1614,F0.1620
F1.104,F0.1621,F0.1624
F1.107,F0.1513,F0.1511
F1.108,F0.1505,F0.1503
F1.109,F0.1606,F0.1613
F1.111,F0.1536,F0.1602
F1.112,F0.1646,F0.1638
F1.114,F0.1612,F0.1533
F1.115,F0.1524,F0.1525
F1.116,F0.1512,F0.1510
F1.117,F0.1514,F0.1509
F1.118,F0.1610,F0.1605
F1.119,F0.1526,F0.1629
F1.120,F0.1501,F0.1504
F1.121,F0.1545,F0.1652
F1.122,F0.1632,F0.1622
F1.123,F0.1502,F0.1508
F1.124,F0.1651,F0.1655
F1.125,F0.1539,F0.1636.2
F1.126,F0.1616,F0.1618
F1.127,F0.1639,F0.1648
F1.128,F0.1654,F0.1636.1
F1.129,F0.1652,F0.1637
F1.130,F0.1534,F0.1543
F1.131,F0.1625,F0.1520
F1.133,F0.1639,F0.1643
F1.135,F0.1632,F0.1621
F1.137,F0.1607,F0.1630
F1.138,F0.1634,F0.1627
F1.141,F0.1630,F0.1623
F1.142,F0.1655,F0.1643
F1.144,F0.1523,F0.1653.1
F1.147,F0.1511,F0.1523
F1.148,F0.1509,F0.1651.1
F1.149,F0.1641,F0.1646.1
F1.150,F0.1653.1,F0.1509
F1.151,F0.1536,F0.1635
F1.153,F0.1501.1,F0.1507
F2.201,F1.101,F1.114
F2.202,F1.101,F1.148
F2.203,F1.101,F1.112
F2.204,F1.101,F1.108
F2.205,F1.108,F1.102
F2.206,F1.108,F1.123
F2.207,F1.108,F1.124
F2.208,F1.108,F1.135
F2.209,F1.109,F1.115
F2.211,F1.109,F1.103
F2.212,F1.109,F1.144
F2.213,F1.111,F1.107
F2.214,F1.111,F1.128
F2.215,F1.111,F1.109
F2.216,F1.111,F1.120
F2.217,F1.118,F1.130
F2.218,F1.118,F1.127
F2.220,F1.118,F1.153
F2.221,F1.123,F1.101
F2.222,F1.123,F1.149
F2.223,F1.123,F1.117
F2.224,F1.123,F1.101
F2.225,F1.126,F1.119
F2.227,F1.126,F1.129
F2.228,F1.126,F1.135
F2.229,F1.127,F1.131
F2.230,F1.127,F1.147
F2.231,F1.127,F1.125
F2.233,F1.135,F1.116
F2.234,F1.135,F1.104
F2.235,F1.135,F1.128
F2.236,F1.135,F1.142
F2.237,F1.142,F1.119
F2.238,F1.142,F1.122
F2.239,F1.142,F1.137
F2.240,F1.142,F1.141
F2.241,F1.148,F1.138
F2.242,F1.148,F1.133
F2.243,F1.148,F1.150
F2.244,F1.148,F1.144
F2.246,F1.153,F1.121
F2.248,F1.153,F1.129
F2.249,F1.101,F1.144
F2.253,F1.118,F1.131
F2.255,F1.127,F1.148
F2.256,F1.135,F1.131
F2.257,F1.142,F1.126
F2.259,F1.153,F1.151
F2.261,F1.111,F1.103
F2.262,F1.118,F1.104
F2.265,F1.153,F1.150
F2.267,F1.109,F1.123
